"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.051","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.079","","epidermis","heat separation","4","14","0","","","PBS","","","PBS","Franz cell","Mitragotri, 1996","10.1023/A:1016096626810"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.079","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-7.079","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.488","abdomen","stratum corneum","heat separation, hydrated","-20","","0","32","","","32","","Sodium azide","","Williams, 1992","10.1016/0378-5173(92)90032-W"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-4.815","thigh","dermis","heat separation, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-6.556","abdomen","epidermis, dermis","dermatomed 500um","4","14","0","32","","Ethanol/PBS (3:1, v/v)","32","","","","Pershing, 1993","10.1023/A:1018974131236"
"Estradiol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C","-5.556","abdomen","epidermis, dermis","dermatomed 500um","4","14","0","32","","Ethanol/PBS (3:1, v/v), 5% Oleic acid in Ethanol","32","","","","Pershing, 1993","10.1023/A:1018974131236"
"Estriol","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]([C@@H]2O)O)C","-7.954","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Estrone","Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C","-6","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Ethacrynic acid","CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O","-7.38","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Ethanol","CCO","-7.079","abdomen","epidermis, dermis","fat removed","","","0","22","","NaCl solution","22","","NaCl solution","","Blank, 1964","10.1038/jid.1964.174"
"Ethanol","CCO","-6.278","abdomen","epidermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"Ethanol","CCO","-6.556","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"Ethanol","CCO","-3.653","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"Ethanol","CCO","-6.699","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Ethanol","CCO","-6.653","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Ethanol","CCO","-6.352","abdomen","epidermis, dermis","fat removed","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"Ethanol","CCO","-5.214","abdomen","dermis","heat separation","","","0","35","7.4","PBS","35","7.4","PBS with bovine serum albumin","Franz cell","Cross, 2003","10.1046/j.1523-1747.2003.12131.x"
"Ethanol","CCO","-5.711","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Ethanol","CCO","-5.012","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Ethanol","CCO","-7.055","abdomen","","","7","4","0","30","","","30","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Ethyl 3-ethoxypropionate","CCOCCC(=O)OCC","-3.113","","stratum corneum","heat separation","4","2","1","","","","30","7.1","Dulbecco PBS","Franz cell","Barber, 1992","10.1016/0272-0590(92)90086-W"
"Ethyl nicotinate","CCOC(=O)c1cccnc1","-5.755","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Ethyl p-aminobenzoate","CCOC(=O)c1ccc(cc1)N","-5.255","thigh","epidermis, dermis","dermatomed 300um","4","","0","25","","","25","","","Flow through cell","Roy, 1993","10.1002/jps.2600821217"
"Ethylene glycol mono isopropyl ether","OCCOC(C)C","-6.913","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono isopropyl ether","OCCOC(C)C","-7.125","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono methyl ether acetate","COCCOC(=O)C","-6.299","abdomen","epidermis, dermis","fat removed","-25","120","0","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Ethylene glycol mono methyl ether acetate","COCCOC(=O)C","-6.637","abdomen","epidermis, dermis","fat removed","-25","120","1","","","","32","","NaCl solution","Franz cell","Venier, 2004","10.1016/j.tiv.2004.03.004"
"Etodolac","CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)O","-5.683","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Etorphine","CCCC(C1CC23C=CC1(OC)C1C43CCN(C2Cc2c4c(O1)c(O)cc2)C)(O)C","-6","abdomen","","","-20","","0","37","7.3","TRIS buffer","37","7.4","TRIS buffer","","Jolicoeur, 1992","10.1023/A:1015877621976"
"Famotidine","NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N","-8.345","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.556","thigh","epidermis, dermis","","4","14","0","30","8","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.808","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.503","abdomen, thigh","epidermis","heat separation","-20","","0","37","7.4","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-7.079","thigh","epidermis, dermis","dermatomed","-20","","0","37","2.88","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-6.442","thigh","epidermis, dermis","dermatomed","-20","","0","37","5.08","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.849","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.02","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.705","thigh","epidermis, dermis","dermatomed","-20","","0","37","6.95","Citrate-phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.452","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.43","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.206","thigh","epidermis, dermis","dermatomed","-20","","0","37","7.95","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.115","thigh","epidermis, dermis","dermatomed","-20","","0","37","8.52","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.013","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.04","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Fentanyl","CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1","-5.039","thigh","epidermis, dermis","dermatomed","-20","","0","37","9.37","Potassium phosphate buffer","37","7.4","","","Roy, 1990","10.1023/A:1015912932416"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.194","abdomen","epidermis","heat separation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.201","abdomen","stratum corneum","trypsinisation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.094","abdomen","dermis","heat separation","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","Henning, 2008","10.1159/000112958"
"Flufenamic acid","OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F","-6.111","abdomen","epidermis, dermis","dermatomed 500um","-26","180","0","32","7.4","Sorensen buffer","32","7.4","PBS","Franz cell","Henning, 2008","10.1159/000112958"
"Fluocinonide","CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C","-6.326","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Fluocinonide","CC(=O)OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1C[C@@H](C1=CC(=O)C=C[C@]21C)F)F)(C)C","-6.326","","epidermis, dermis","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Flurbiprofen","OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C","-5.331","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Flurbiprofen glucoside","OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O","-6.477","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Flurbiprofen mannoside","OC1O[C@H](COC(=O)C(c2ccc(c(c2)F)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O","-6.935","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Glyphosate","OC(=O)CNCP(=O)(O)O","-6.894","","epidermis, dermis","dermatomed 1000um","","","0","37","","Water","37","7.4","PBS","Flow through cell","Wester, 1996","10.1016/0278-6915(96)00030-0"
"Haloperidol","Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl","-7.03","abdomen","epidermis","heat separation","-80","","0","37","","","37","","","Franz cell","Vaddi, 2001","10.1248/cpb.49.1395"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.907","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","5","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.812","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","7.3","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Histidine","N[C@H](C(=O)O)Cc1c[nH]cn1","-7.903","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","8.5","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.481","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","","Ethanol","37","","Ethanol","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.195","abdomen, chest, back","epidermis","heat separation","5","7","0","","","","","","","Glass diffusion cell","Johnson, 1995","10.1002/jps.2600840922"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.079","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.106","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.357","abdomen","epidermis, dermis","","-30","","0","37","1","","37","","NaCl, Sodium azide","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.357","abdomen","epidermis, dermis","","-30","","0","37","2","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.431","abdomen","epidermis, dermis","","-30","","0","37","3.5","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.681","abdomen","epidermis, dermis","","-30","","0","37","6","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.577","abdomen","epidermis, dermis","","-30","","0","37","10","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.195","abdomen","epidermis, dermis","dermatomed 600um","-80","60","0","32","","Propylene glycol","","","PBS with ethanol","Franz cell","Schmook, 2001","10.1016/S0378-5173(00)00665-7"
"Hydrocortisone 21-(6-hydroxyhexanoate)","OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.597","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-(N,N-dimethylsuccinamate)","O=C(CCC(=O)N(C)C)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.73","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hemipimelate","OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.301","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hemisuccinate","OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.757","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hexanoate","CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-5.301","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-methylpimelate","COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-5.824","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-methylsuccinate","COC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.234","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-octanoate","CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-4.764","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-pimelamate","NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.607","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-propionate","CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.038","","epidermis, dermis","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-propionate","CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.025","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-succinamate","NC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-8.141","","stratum corneum","dry heat separation","4","8.5","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","Anderson, 1988","10.1023/a:1015989929342"
"Hydromorphone","O=C1CC[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-8.38","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Hydroquinone","Oc1ccc(cc1)O","-6.506","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Hydroquinone","Oc1ccc(cc1)O","-8.586","abdomen","stratum corneum","heat separation","-70","","0","","","","30","7.1","Dulbecco PBS with penicillin, streptomycin and amphotericin","Franz cell","Barber, 1995","10.1016/0378-4274(95)03393-Y"
"Hydroxypregnenolone","CC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CCC(C2)(O)O","-6.778","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Ibuprofen","CC(Cc1ccc(cc1)C(C(=O)O)C)C","-4.996","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Ibuprofen","CC(Cc1ccc(cc1)C(C(=O)O)C)C","-5.503","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ibuprofen glucoside","CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C)C","-6.945","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ibuprofen mannoside","CC(Cc1ccc(cc1)C(C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C)C","-6.548","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Indomethacin","COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C","-10.554","thigh","epidermis","heat separation","4","7","0","32","7.2","PBS","","","","","Hirvonen, 1991","10.1023/a:1015824100788"
"Isonicotinic acid","OC(=O)c1ccncc1","-8.173","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Isoquinoline","c1ccc2c(c1)cncc2","-5.332","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","7.4","NaOH","37","7.4","NaOH","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Ketoprofen","OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C","-6.768","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Ketoprofen","OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C","-6.151","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketoprofen glucoside","OC1O[C@H](COC(=O)C(c2cccc(c2)C(=O)c2ccccc2)C)[C@H]([C@@H]([C@H]1O)O)O","-7.731","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketoprofen mannoside","OC1O[C@H](COC(=O)C(c2cccc(c2)C(=O)c2ccccc2)C)[C@H]([C@@H]([C@@H]1O)O)O","-7.594","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Ketorolac","OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1","-5.799","","epidermis, dermis","","","","0","32","7.4","","32","7.4","PBS with gentamycine","Franz cell","Roy, 1995","10.1002/jps.2600841010"
"L-alanyl-L-tryptophan","OC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](N)C","-8.38","abdomen","epidermis","heat separation","-20","60","0","35","7.4","HEPES","35","","","Glass diffusion cell","Krishnan, 2011","10.1002/bip.21520"
"L-alanyl-L-tryptophan","OC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](N)C","-8.637","abdomen","epidermis","heat separation","-20","60","0","35","5.5","HEPES","35","","","Glass diffusion cell","Krishnan, 2011","10.1002/bip.21520"
"Levosimendan","N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@H]1C)C#N","-6.484","abdomen","epidermis","heat separation","","","0","25","5","Acetate solution","25","","","Glass diffusion cell","Valjakka-Koskela, 2000","10.1016/S0928-0987(00)00120-2"
"Levosimendan","N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@H]1C)C#N","-7.954","abdomen","epidermis","heat separation","","","0","","7.4","PBS","","","","Glass diffusion cell","Valjakka-Koskela, 2000","10.1016/S0928-0987(00)00120-2"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.958","abdomen, chest, back","epidermis","heat separation","5","7","0","","","PBS","","7.4","PBS","Glass diffusion cell","Johnson, 1996","10.1021/js960079z"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-6.079","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-7.021","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","4.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-6.967","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","6.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Kushla, 1991","10.1016/0378-5173(91)90387-4"
